onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,G3,G3,1.0
correct,0.51,0.51,0.0,B/Cb3,B/Cb3,1.0
correct,0.99,0.99,0.0,X0,X0,0.0
correct,1.5,1.5,0.0,X0,X0,0.0
correct,2.02,2.02,0.0,G3,G3,1.0
correct,2.5,2.5,0.0,B/Cb3,B/Cb3,1.0
correct,3.01,3.01,0.0,F#/Gb3,F#/Gb3,1.0
correct,3.52,3.52,0.0,G3,G3,1.0
correct,4.51,4.51,0.0,G3,G3,1.0
correct,5.5,5.5,0.0,G3,G3,1.0
correct,6.5,6.5,0.0,E/Fb3,E/Fb3,1.0
correct,7.52,7.52,0.0,G3,G3,1.0
correct,8.0,8.0,0.0,G3,G3,1.0
correct,8.51,8.51,0.0,F#/Gb3,F#/Gb3,1.0
correct,8.99,9.02,-0.03,E/Fb3,E/Fb3,1.0
correct,9.5,9.5,0.0,B/Cb3,B/Cb3,1.0
correct,10.5,10.53,-0.03,X0,X0,0.0
correct,11.52,11.52,0.0,G3,G3,1.0
correct,12.51,12.51,0.0,G3,G3,1.0
correct,13.5,13.5,0.0,G3,G3,1.0
late,14.5,15.49,-0.99,F#/Gb3,F#/Gb3,1.0
early,15.52,16.0,-0.48,B/Cb3,B/Cb3,1.0
late,16.0,17.02,-1.02,G3,B/Cb3,0.2
correct,16.51,17.5,-0.99,G3,B/Cb3,0.2
late,16.99,18.53,-1.54,F#/Gb3,C4,0.0
late,17.5,19.52,-2.02,B/Cb3,C4,0.8
early,18.5,20.0,-1.5,C4,G3,0.1
early,19.52,20.51,-0.99,X0,B/Cb3,0.0
correct,20.0,21.02,-1.02,G3,F#/Gb3,0.8
correct,20.51,21.5,-0.99,B/Cb3,X0,0.0
missing,20.99,,,X0,,
missing,21.5,,,X0,,
